Pr,,,,,,,,,,,,,,,
Tr,0.01,0.05,0.1,0.2,0.4,0.6,0.8,1,1.2,1.5,2,3,5,7,10
0.3,-11.614,-10.008,-9.319,-8.635,-7.961,-7.574,-7.304,-7.099,-6.935,-6.74,-6.497,-6.18,-5.847,-5.683,-5.578
0.35,-11.185,-9.579,-8.89,-8.205,-7.529,-7.14,-6.869,-6.663,-6.497,-6.299,-6.052,-5.728,-5.376,-5.194,-5.06
0.4,-10.802,-9.196,-8.506,-7.821,-7.144,-6.755,-6.483,-6.275,-6.109,-5.909,-5.66,-5.33,-4.967,-4.772,-4.619
0.45,-10.453,-8.847,-8.157,-7.472,-6.794,-6.404,-6.132,-5.924,-5.757,-5.557,-5.306,-4.974,-4.603,-4.401,-4.234
0.5,-10.137,-8.531,-7.841,-7.156,-6.479,-6.089,-5.816,-5.608,-5.441,-5.24,-4.989,-4.656,-4.282,-4.074,-3.899
0.55,-0.038,-8.245,-7.555,-6.87,-6.193,-5.803,-5.531,-5.324,-5.157,-4.956,-4.706,-4.373,-3.998,-3.788,-3.607
0.6,-0.029,-7.983,-7.294,-6.61,-5.933,-5.544,-5.273,-5.066,-4.9,-4.7,-4.451,-4.12,-3.747,-3.537,-3.353
0.65,-0.023,-0.122,-7.052,-6.368,-5.694,-5.306,-5.036,-4.83,-4.665,-4.467,-4.22,-3.892,-3.523,-3.315,-3.131
0.7,-0.018,-0.096,-0.206,-6.14,-5.467,-5.082,-4.814,-4.61,-4.446,-4.25,-4.007,-3.684,-3.322,-3.117,-2.935
0.75,-0.015,-0.078,-0.164,-5.917,-5.248,-4.866,-4.6,-4.399,-4.238,-4.045,-3.807,-3.491,-3.138,-2.939,-2.761
0.8,-0.013,-0.064,-0.134,-0.294,-5.026,-4.694,-4.388,-4.191,-4.034,-3.846,-3.615,-3.31,-2.97,-2.777,-2.605
0.85,-0.011,-0.054,-0.111,-0.239,-4.785,-4.418,-4.166,-3.976,-3.825,-3.646,-3.425,-3.135,-2.812,-2.629,-2.463
0.9,-0.009,-0.046,-0.094,-0.199,-0.463,-4.145,-3.912,-3.738,-3.599,-3.434,-3.231,-2.964,-2.663,-2.491,-2.334
0.93,-0.008,-0.042,-0.085,-0.179,-0.408,-0.75,-3.723,-3.569,-3.444,-3.295,-3.108,-2.86,-2.577,-2.412,-2.262
0.95,-0.008,-0.039,-0.08,-0.168,-0.377,-0.671,-3.556,-3.433,-3.326,-3.193,-3.023,-2.79,-2.52,-2.362,-2.215
0.97,-0.007,-0.037,-0.075,-0.157,-0.35,-0.607,-1.056,-3.259,-3.188,-3.081,-2.932,-2.719,-2.463,-2.312,-2.17
0.98,-0.007,-0.036,-0.073,-0.153,-0.337,-0.58,-0.971,-3.142,-3.106,-3.019,-2.884,-2.682,-2.436,-2.287,-2.148
0.99,-0.007,-0.035,-0.071,-0.148,-0.326,-0.555,-0.903,-2.972,-3.01,-2.953,-2.835,-2.646,-2.408,-2.263,-2.126
1,-0.007,-0.034,-0.069,-0.144,-0.315,-0.532,-0.847,-2.178,-2.893,-2.879,-2.784,-2.609,-2.38,-2.239,-2.105
1.01,-0.007,-0.033,-0.067,-0.139,-0.304,-0.51,-0.799,-1.391,-2.736,-2.798,-2.73,-2.571,-2.352,-2.215,-2.083
1.02,-0.006,-0.032,-0.065,-0.135,-0.294,-0.491,-0.757,-1.225,-2.495,-2.706,-2.673,-2.533,-2.325,-2.191,-2.062
1.05,-0.006,-0.03,-0.06,-0.124,-0.267,-0.439,-0.656,-0.965,-1.523,-2.328,-2.483,-2.415,-2.242,-2.121,-2.001
1.1,-0.005,-0.026,-0.053,-0.108,-0.23,-0.371,-0.537,-0.742,-1.012,-1.557,-2.081,-2.202,-2.104,-2.007,-1.903
1.15,-0.005,-0.023,-0.047,-0.096,-0.201,-0.319,-0.452,-0.607,-0.79,-1.126,-1.649,-1.968,-1.966,-1.897,-1.81
1.2,-0.004,-0.021,-0.042,-0.085,-0.177,-0.277,-0.389,-0.512,-0.651,-0.89,-1.308,-1.727,-1.827,-1.789,-1.722
1.3,-0.003,-0.017,-0.033,-0.068,-0.14,-0.217,-0.298,-0.385,-0.478,-0.628,-0.891,-1.299,-1.554,-1.581,-1.556
1.4,-0.003,-0.014,-0.027,-0.056,-0.114,-0.174,-0.237,-0.303,-0.375,-0.478,-0.663,-0.99,-1.303,-1.386,-1.402
1.5,-0.002,-0.011,-0.023,-0.046,-0.094,-0.143,-0.194,-0.246,-0.299,-0.381,-0.52,-0.777,-1.088,-1.208,-1.26
